               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.021285,            0.015097,          0.00053086,             0.81028,               0.792,             0.84986,             0.53939,            0.016602,            0.011121,          0.00034411,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019747,            0.015224,          0.00057464,              0.8187,             0.77016,             0.81734,             0.52325,            0.016817,            0.011271,          0.00077403,            0.004357,            0.004357,            0.004357
                 116,            0.021082,            0.015314,          0.00045577,             0.92178,             0.84091,             0.91418,             0.54291,            0.017056,             0.01116,           0.0010232,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020968,            0.015247,          0.00060816,             0.79234,             0.68768,             0.80098,             0.54074,            0.016858,            0.011097,           0.0010183,            0.004258,            0.004258,            0.004258
                 118,            0.021321,            0.015218,          0.00067589,             0.90404,             0.76981,             0.88917,             0.55334,            0.016963,            0.011034,          0.00039512,           0.0042085,           0.0042085,           0.0042085
                 119,            0.020013,            0.014612,          0.00065583,             0.85485,             0.65398,             0.81954,             0.55523,            0.017097,            0.011116,          0.00059266,            0.004159,            0.004159,            0.004159
                 120,            0.020125,            0.014846,          0.00063123,             0.78514,             0.80352,             0.83745,             0.54786,            0.016875,            0.011157,          0.00042404,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020722,            0.015419,          0.00046815,              0.7684,             0.68383,             0.77978,             0.50719,            0.016946,            0.011189,          0.00067256,             0.00406,             0.00406,             0.00406
                 122,             0.01977,            0.014624,          0.00060541,             0.81728,             0.80754,             0.87153,             0.53052,            0.016726,             0.01134,          0.00033475,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019909,            0.014803,          0.00068519,             0.80229,             0.81278,             0.82531,             0.54092,             0.01728,            0.011274,          0.00028927,            0.003961,            0.003961,            0.003961
                 124,            0.019545,            0.014936,          0.00048511,             0.80774,             0.65292,             0.80018,             0.50717,            0.017211,            0.011799,          0.00028452,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019542,            0.014714,          0.00060164,             0.88834,             0.75922,             0.86568,             0.53186,            0.016837,            0.011452,          0.00041323,            0.003862,            0.003862,            0.003862
                 126,            0.019971,            0.014534,          0.00062616,             0.72253,             0.80661,             0.82991,             0.55364,            0.016924,            0.011371,          0.00041242,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019352,            0.014593,          0.00071458,             0.90392,             0.79239,             0.85194,             0.54241,            0.016959,            0.011249,          0.00032083,            0.003763,            0.003763,            0.003763
                 128,             0.01929,            0.014381,          0.00067645,             0.68219,             0.90534,             0.83177,             0.54562,            0.016799,            0.011322,          0.00028884,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019274,            0.014315,          0.00034362,             0.84193,             0.64906,             0.78666,             0.52422,            0.017111,            0.011727,          0.00051035,            0.003664,            0.003664,            0.003664
                 130,            0.019622,            0.014815,          0.00044404,             0.84772,             0.86826,             0.90226,             0.57478,            0.016776,             0.01136,          0.00082005,           0.0036145,           0.0036145,           0.0036145
                 131,             0.01911,            0.014335,          0.00056527,             0.89253,             0.75815,             0.83465,             0.53542,             0.01682,            0.011641,          0.00057409,            0.003565,            0.003565,            0.003565
                 132,            0.019709,            0.014552,          0.00070976,             0.72258,             0.89322,             0.84551,              0.5617,            0.016837,             0.01154,           0.0003786,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019399,            0.014421,           0.0005207,             0.85153,             0.75311,             0.86023,             0.54429,            0.016625,            0.011545,           0.0011217,            0.003466,            0.003466,            0.003466
                 134,             0.01951,            0.014529,          0.00058748,             0.89665,             0.77054,             0.85602,             0.55654,            0.016861,            0.011548,          0.00036157,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019027,            0.014122,          0.00044708,             0.90132,             0.76271,             0.84527,             0.52913,            0.016718,            0.011229,          0.00039539,            0.003367,            0.003367,            0.003367
                 136,            0.019338,            0.015143,          0.00040901,             0.83886,             0.66682,             0.78953,             0.51895,            0.016771,            0.011418,          0.00063376,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019114,            0.015067,          0.00047263,             0.78658,             0.68482,             0.79999,             0.52245,            0.016668,            0.011531,           0.0005201,            0.003268,            0.003268,            0.003268
                 138,            0.019258,             0.01454,          0.00034817,             0.78868,             0.75394,              0.8363,             0.53052,            0.016522,            0.011603,          0.00076582,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019338,            0.014497,          0.00053577,             0.87378,             0.73411,             0.86501,             0.54122,            0.016775,            0.011607,          0.00058892,            0.003169,            0.003169,            0.003169
                 140,             0.01854,             0.01397,          0.00037616,             0.86263,             0.73935,              0.8412,             0.53987,            0.016373,            0.011634,          0.00029755,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019174,            0.013904,          0.00084792,             0.67448,             0.90585,             0.82178,             0.56483,            0.016739,            0.011717,          0.00033121,             0.00307,             0.00307,             0.00307
                 142,            0.018398,            0.014068,          0.00036524,             0.88519,             0.63668,             0.79209,             0.52323,            0.016938,            0.011479,          0.00041619,           0.0030205,           0.0030205,           0.0030205
                 143,            0.019031,            0.014352,          0.00051439,             0.77753,             0.77544,             0.78049,             0.51014,            0.016917,            0.011543,          0.00043055,            0.002971,            0.002971,            0.002971
                 144,            0.019105,            0.014688,          0.00046713,             0.83792,             0.64736,             0.77687,             0.53804,            0.016584,            0.011481,          0.00032966,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018325,            0.013535,          0.00046321,             0.94746,             0.73453,             0.83418,             0.54982,             0.01691,            0.011929,          0.00055327,            0.002872,            0.002872,            0.002872
                 146,            0.018248,            0.013745,          0.00042167,             0.81115,             0.67247,              0.7947,             0.52824,             0.01688,            0.011871,          0.00026815,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018478,            0.013974,          0.00038558,             0.70666,             0.70791,             0.72984,             0.50676,            0.016604,            0.011717,          0.00021121,            0.002773,            0.002773,            0.002773
